Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,,,,,,,,14.25945877,15.70277782,17.14089818,18.6109991,20.22369216,21.54693561,24.43263073,27.04347018,29,28.6,29.6,29.5,29.3,36,42.8,41,41.9,42.3,42.9,41.1,40.6,40.5,40.8,40.6,40.5,40,39.3,37.1,35,,35.4,34.1,33.9,33.6,,,,32.7,32.6,32.5,32.1,,,
Africa Eastern and Southern,AFE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.837004595,0.842367989,0.843302196,0.844147336,0.844889228,0.802419855,0.793235824,0.793285842,0.793241386,0.793198742,0.771958057,0.773276942,0.773499134,0.773571514,0.773216402,0.875758878,0.870190826,0.912702955,0.977188108,0.983141221,1.028055712,1.035800528,1.087787281,1.126244197,1.141956562,1.182689651,1.253770885,1.285367144,1.334849422,1.390548442,1.44710622,1.472040639,1.444568226,1.466698451,1.506186435,1.567046161,1.637149552,1.743998307,1.868326404,1.986175783,1.87304962,1.872920957,1.916293746,1.970605027,1.964532082,1.858767933,1.8401693,1.855509075,1.849399263,1.88896679,1.80633242,1.712507059,1.618772747,1.346621915,1.299733859,1.3,1.3,1.3,1,0.8,0.7,0.6,0.6,0.5,0.5,0.4
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.089301599,0.0855843,0.0855843,0.0855843,0.0855843,0.097227988,0.093408,0.093408,0.093408,0.093408,0.148796072,0.143194,0.143194,0.143194,0.143194,0.176847227,0.178668178,0.1749781,0.195534971,0.194819661,0.206620969,0.284172531,0.27754957,0.291414848,0.292863331,0.294894838,0.306265757,0.319682007,0.327443839,0.32792513,0.301,0.302,0.218,0.194,0.178,0.17,0.163,0.157,0.151,0.146,0.144,0.143,0.155,0.161,,,,,,0.0187,0.0588,0.046,0.295,0.303,0.311,0.325,0.329,0.333,0.348,0.356,0.373,0.364,0.4,0.439,,
Africa Western and Central,AFW,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.060733012,0.061229388,0.061344375,0.061462302,0.061584088,,0.084772283,0.084924887,0.085069734,0.085237512,,0.097804436,0.098227014,0.098643513,0.098995565,,,,,,,0.231021098,0.226620962,0.247470023,0.255090339,0.260687981,0.269817653,0.277338088,0.28312997,0.294404899,0.31914488,0.326362144,0.350685264,0.36817621,0.391795347,0.424545371,0.451066403,0.476133352,0.526052395,0.581384244,0.664712876,0.719843165,0.766436639,0.797818432,0.858342716,0.915791887,1.089437052,1.055554962,0.965839668,1.07996468,0.945105557,0.86359106,0.780607914,0.75551643,0.768008217,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.3
Angola,AGO,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.124430766,0.122201,0.122201,0.122201,0.122201,0.17431983,0.173293,0.173293,0.173293,0.173293,0.215599449,0.220699,0.220699,0.220699,0.220699,0.255946745,0.261463812,0.266244438,0.321684494,0.372985042,0.432170483,0.425188983,0.550789793,0.4946799,0.47828473,0.474895195,0.465421298,0.579761264,0.58768962,0.585690036,0.602,0.599,0.394,0.416,0.4,0.385,0.371,0.425,0.429,0.429,0.401,0.459,0.463,0.474,0.507,0.502,0.49,0.454,0.53,1.35,1.21,0.659,0.828,0.821,1.06,1.01,1.04,0.533,0.549,0.385,0.356,0.348,0.264,0.236,,
Albania,ALB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.400014259,0.418376,0.418376,0.418376,0.418376,0.696142729,0.737855,0.737855,0.737855,0.737855,7.441721214,8.04387,8.04387,8.04387,8.04387,0.817320863,0.829169062,0.857721021,0.871770654,0.900039221,0.928049953,0.969125662,0.986459528,1.003914944,1.021800758,1.049113653,1.091319087,1.111908665,1.133919232,1.174523533,1.22,1.26,1.37,1.31,1.27,1.29,1.97,2.69,3.6,4.4,4.82,6.27,7.02,8.18,8.86,9.07,8.39,9.92,11.5,12.3,11.4,11.6,10.7,9.67,8.12,7.82,8.58,8.51,8.59,8.42,7.78,6.94,6.27,6.16,,
Andorra,AND,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,3.686771863,2.69556,2.69556,2.69556,2.69556,9.516616314,7.78547,7.78547,7.78547,7.78547,13.95441389,14.2486516,15.22827878,17.01663904,18.53728545,19.72985875,24.18146916,26.90553915,29.67946181,30.81956331,31.95617439,34.18046267,35.44662538,36.07161558,37.62151904,40.9,41.3,42,42.3,43.9,46.6,48.4,49.4,50.4,51.1,52.1,52.4,52.5,50.6,47.1,45.8,45.9,45.4,44.8,45.2,47.3,49.4,49.9,51.3,51.9,53.8,53.6,52.1,52.4,51.9,62.8,63.5,63.8,63.9,,
Arab World,ARB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,0.67822386,0.679674338,0.681111953,0.682512837,0.827909911,0.79958447,0.802601557,0.805438545,0.807701717,0.98911431,1.029058775,1.114709546,1.219445729,1.376801277,,1.669827155,2.028265847,2.189096654,2.332017842,2.578033365,2.756064581,2.886930103,3.019820606,3.190215728,3.415510365,3.653852542,3.899180235,4.10596175,4.332497734,4.605958764,4.93185882,5.300268828,5.808378623,6.424071092,6.902673719,7.414622435,8.133094801,8.676888918,9.085828449,9.327723339,9.515977787,9.936075418,10.07860125,9.726941464,9.604437821,9.382147057,9.157613351,8.472538839,7.240058468,7.40338029,7.644470694,8.153359975,8.237891717,8.398399543,8.674175781,8.990482563,9.48106494,,,
United Arab Emirates,ARE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,4.749408348,5.871434456,7.049476488,8.951705844,10.60991665,11.89204061,12.96069734,13.96559165,14.37015382,14.43105758,15.00881456,15.02541707,15.72425819,17.58902072,19.68535137,20.9,21.8,23.2,24.9,26.4,27.6,28.4,29.6,30.1,29.9,29.2,28.3,27.6,27.1,26.8,26.5,26.1,24.6,25.3,23.6,21.3,25.4,26.2,26.6,25.5,26,25.3,25.1,25.1,25.2,25.2,22.9,22.3,21.2,,
Argentina,ARG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,4.494680621,4.46571,4.46571,4.46571,4.46571,4.987833993,4.96398,4.96398,4.96398,4.96398,5.397855277,5.38932,5.38932,5.38932,5.38932,6.380538731,6.382592608,6.333809742,6.365550349,6.514614524,6.704775052,7.723571311,8.164330917,7.732288548,8.714098395,8.950652013,9.298746865,9.501303688,10.02106858,9.587833226,9.24,9.42,10.7,11.7,14.4,16.3,17.6,19,19.5,19.6,21.2,21.6,20.3,22.4,22.6,24.1,23.9,23.7,24.1,23.9,24,23.3,22.4,22.7,22.8,23.2,23.2,22,21.9,17.2,16.3,16.8,15.5,15.4,,
Armenia,ARM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,6.711888309,7.250602577,8.430216188,8.886770692,9.363725187,9.569002556,10.73274333,11.24293452,11.73458469,12.22455779,12.72381802,13.22440432,14.02414062,14.88043084,15.37040055,15.8,15.8,16.2,16.9,17.4,17.6,17.7,17.5,17.3,17.2,17.1,17.2,17.8,18.5,19.2,19.8,20.2,21,21.2,20.4,20.2,20.1,20,19.8,19.6,18.9,18.2,17.2,16.4,15.6,14.8,14.6,12.7,11.2,,
American Samoa,ASM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,,,,,,,,13.00647496,12.52211787,12.18298051,11.8495361,11.52325271,11.20395873,10.89104464,10.58589699,11.8,11.5,12.2,15.9,18.5,18.7,18.7,18.6,18.4,18.1,18,22.1,24.6,18.8,18.2,18.4,18.4,18.5,18.6,18.7,18.8,,18.4,18.5,18.5,18.9,,,,19.9,20.1,20.3,20.1,,,
Antigua and Barbuda,ATG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,2.634923587,2.64892,2.64892,2.64892,2.64892,2.967127352,2.96921394,,,,,5.378326879,6.132053778,7.644324853,8.867537713,10.76128397,12.36246755,14.76232654,17.19233534,20.42868816,25.3,21.6,26.1,29.3,36.3,38,40.2,43.6,47,49.5,51.1,49,49.4,48.8,48.3,45.8,46.5,46.4,45.8,44.4,42.6,41.1,38,37.6,22.4,22.4,25,26.5,,29.6,29.4,29.2,29.4,,,
Australia,AUS,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,15.18442454,15.2505,15.2505,15.2505,15.2505,17.69453112,17.7669,17.7669,17.7669,17.7669,21.46877889,21.1365,21.1365,21.1365,21.1365,25.48453379,26.35689573,27.52694657,29.01921828,30.64260684,32.24913748,33.95394738,35.31391649,36.34947263,37.55321424,39.19270007,40.60296401,41.92260663,42.91171865,44.17553136,45.5,46.4,47.1,48.2,49.4,49.2,50.1,50.5,51,51.6,52.5,51.9,53.1,52.8,51.7,49.9,48.3,46.6,43.8,49.2,48,47,45.8,44.5,38.9,35.5,34.9,34.2,32.6,24.3,21.2,25.9,26.1,24.4,,
Austria,AUT,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,6.085344139,6.06451,6.06451,6.06451,6.06451,9.009767413,8.96627,8.96627,8.96627,8.96627,12.98005438,12.8921,12.8921,12.8921,12.8921,19.8629365,21.45828835,23.0890476,24.93304123,26.93613936,29.0292415,30.70186336,32.20946922,33.70645486,34.93843141,36.09293645,37.2452046,38.38602923,39.5756063,40.72259843,42,43.1,44.2,45.3,46.5,47.8,49,49.8,50.2,49.3,49.9,49.7,48,47.7,46.7,45.4,43.6,41.1,39.5,39,40.6,40.4,40.1,39.3,41.2,41.8,40.8,42.2,42.2,41.9,42.4,42.5,40.6,39.5,,
Azerbaijan,AZE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,,,,,,,,,,,3.544296619,3.819679253,4.414826951,4.670913225,5.081617123,5.326598841,6.025470126,6.242841668,6.447736522,6.639886774,6.82035193,7.133557023,7.430581892,7.698503998,8.02844082,8.57,8.48,8.38,8.27,8.35,8.28,8.24,8.29,8.48,9.01,9.8,10.5,11.1,11.2,11.9,12.7,13.5,14.2,14.7,15.5,16.5,18.2,18.4,18.5,18.6,18.4,17.2,16.9,16.7,16.5,16.2,16.1,15.9,15.8,,
Burundi,BDI,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,,,,,,0.044898648,0.0452433,0.0452433,0.0452433,0.0452433,0.057178242,0.0574866,0.0574866,0.0574866,0.0574866,0.072014749,0.067869364,,,,,0.04453606,0.047802477,0.051412185,0.078682138,0.107315567,0.131522941,0.137792161,0.139344138,0.142657839,0.142,0.179,0.22,0.274,0.276,0.284,0.25,0.261,0.288,0.3,0.309,0.31,0.324,0.339,0.38,0.366,0.355,0.349,0.358,0.348,0.373,0.309,0.173,0.204,0.201,0.197,0.174,0.203,0.209,0.171,0.145,0.123,0.112,0.105,,
Belgium,BEL,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,8.55511705,8.50039,8.50039,8.50039,8.50039,11.15554806,11.1179,11.1179,11.1179,11.1179,13.95252403,13.9485,13.9485,13.9485,13.9485,18.94784927,19.85974985,20.94749291,22.22402264,23.60880265,24.84481105,26.28214375,27.61502036,28.562052,29.62410873,30.69083108,32.63774656,34.01127773,35.5428693,37.35108688,39.3,41,42.4,43.6,44.9,46.2,45.5,46.8,47.6,49,49.1,49.9,47.7,47,46.1,45.8,44.8,45.6,44.2,42.9,42.4,42,41.7,41.1,40.4,39.8,38.6,37.6,35.9,34.2,31.5,28.6,25.5,22.8,,
Benin,BEN,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.086614411,0.0894876,0.0894876,0.0894876,0.0894876,0.084069152,0.0873742,0.0873742,0.0873742,0.0873742,0.115762063,0.120178,0.120178,0.120178,0.120178,0.15724969,0.169376958,0.179644231,0.193350045,0.206087567,0.222095344,0.238712046,0.238753902,0.238521826,0.246466981,0.246224052,0.264381236,0.281181465,0.281396069,0.285881824,0.28,0.276,0.281,0.348,0.393,0.453,0.511,0.554,0.565,0.623,0.715,0.796,0.816,0.841,0.892,0.905,0.89,1.24,1.25,1.34,1.36,1.51,1.51,1.49,1.77,1.71,1.07,0.472,0.392,0.282,0.248,0.0857,0.0111,0.0101,,
